Location,field_lat_long
WILDWOOD BRANCH LIBRARY,45.057047|-92.950406
HIGHLAND BRANCH LIBRARY,44.917801|-93.183324
RICE STREET BRANCH LIBRARY,44.971938|-93.106087
WEST ST. PAUL: WENTWORTH COMM LIBRARY,44.897222|-93.092894
SUN RAY BRANCH LIBRARY,44.954129|-93.012484
EAGAN: WESCOTT COMMUNITY LIBRARY,44.818823|-93.162088
APPLE VALLEY: GALAXIE LIBRARY,44.741101|-93.207536
RH STAFFORD BRANCH LIBRARY,44.917460|-92.933708
SHOREVIEW LIBRARY,45.079393|-93.135464
OAKDALE BRANCH LIBRARY,44.963572|-92.948417
ANOKA:  RUM RIVER,45.228510|-93.380881
HAM LAKE: NORTH CENTRAL BRANCH LIBRARY,45.288987|-93.233503
OUTREACH SERVICES,44.965561|-93.441094
RIDGEDALE LIBRARY,44.965561|-93.441094
CHAMPLIN LIBRARY,45.174488|-93.393767
CHANHASSEN PUBLIC LIBRARY,44.862086|-93.540110
CHASKA PUBLIC LIBRARY,44.788253|-93.601577
EXCELSIOR LIBRARY,44.902641|-93.568073
BURNSVILLE: BURNHAVEN COMM LIBRARY,44.746666|-93.293022
HOPKINS LIBRARY,44.926060|-93.413941
EDEN PRAIRIE LIBRARY,44.850801|-93.426615
MINNETONKA LIBRARY,44.908122|-93.502477
JORDAN BRANCH LIBRARY,44.667623|-93.635666
LONG LAKE LIBRARY,44.985308|-93.570260
MAPLE PLAIN LIBRARY,45.007646|-93.655721
WESTONKA LIBRARY,44.940921|-93.666191
NORWOOD YOUNG AMERICA PUBLIC LIBRARY,44.767991|-93.928920
MAPLE GROVE LIBRARY,45.100137|-93.441549
OSSEO LIBRARY,45.120423|-93.402234
PRIOR LAKE BRANCH LIBRARY,44.6816| -93.3387
ROGERS LIBRARY,45.191733|-93.549182
ST. BONIFACIUS LIBRARY,44.904057|-93.743581
SAVAGE BRANCH LIBRARY,44.765977|-93.355762
SHAKOPEE BRANCH LIBRARY,44.796803|-93.524716
WACONIA PUBLIC LIBRARY,44.847262|-93.789073
WATERTOWN LIBRARY,44.961613|-93.849005
WAYZATA LIBRARY,44.971229|-93.510789
MINNEAPOLIS CENTRAL LIBRARY,44.979895|-93.269813
FRANKLIN LIBRARY,44.962809|-93.256074
EAST LAKE LIBRARY,44.948310|-93.231704
ROOSEVELT LIBRARY,44.929531|-93.232217
HOSMER LIBRARY,44.937681|-93.271343
WALKER LIBRARY,44.949343|-93.298395
LINDEN HILLS LIBRARY,44.924842|-93.316157
NORTH REGIONAL LIBRARY,45.013072|-93.295697
SUMNER LIBRARY,44.984688|-93.293750
WEBBER PARK LIBRARY,45.032313|-93.288421
PIERRE BOTTINEAU LIBRARY,44.998769|-93.269175
SOUTHEAST LIBRARY,44.981030|-93.237328
NOKOMIS LIBRARY,44.909982|-93.222966
NORTHEAST LIBRARY,45.009962|-93.247457
ST. ANTHONY LIBRARY,45.016035|-93.219295
WASHBURN LIBRARY,44.906954|-93.288452
OXBORO LIBRARY,44.843622|-93.268194
COLUMBIA HEIGHTS PUBLIC LIBRARY,45.040891|-93.250026
AUGSBURG PARK LIBRARY,44.872783|-93.278305
ST. LOUIS PARK LIBRARY,44.943596|-93.368430
GOLDEN VALLEY LIBRARY,44.989048|-93.380213
ROCKFORD ROAD LIBRARY,45.032707|-93.360761
BROOKDALE LIBRARY,45.064737|-93.310151
PENN LAKE LIBRARY,44.843672|-93.308926
FRIDLEY: MISSISSIPPI BRANCH LIBRARY,45.086080|-93.260534
COON RAPIDS: CROOKED LAKE BRANCH LIBRARY,45.179023|-93.338055
BLAINE: JOHNSVILLE BRANCH LIBRARY,45.196303|-93.245224
BLAINE: NORTHTOWN LIBRARY,45.126801|-93.253236
SOUTHDALE LIBRARY,44.874521|-93.321023
EDINA LIBRARY,44.907569|-93.356641
BROOKLYN PARK LIBRARY,45.110351|-93.356370
PLYMOUTH LIBRARY,45.022309|-93.481573
BELLE PLAINE BRANCH LIBRARY,44.622948|-93.769637
NEW PRAGUE BRANCH LIBRARY,44.543521|-93.571234
THIEF RIVER FALLS PUBLIC LIBRARY,48.116959|-96.181411
GREENBUSH PUBLIC LIBRARY,48.701038|-96.181596
HALLOCK PUBLIC LIBRARY,48.773023|-96.947083
RED LAKE FALLS PUBLIC LIBRARY,47.883221|-96.275148
ROSEAU PUBLIC LIBRARY,48.846309|-95.762526
WARREN: GODEL MEMORIAL LIBRARY,48.197980|-96.768855
WARROAD PUBLIC LIBRARY,48.905750|-95.317354
BIRD ISLAND PUBLIC LIBRARY,44.765833|-94.895061
BROWNTON PUBLIC LIBRARY,44.730084|-94.352829
DASSEL PUBLIC LIBRARY,45.081326|-94.309579
FAIRFAX PUBLIC LIBRARY,44.527822|-94.719476
GLENCOE PUBLIC LIBRARY,44.770160|-94.147636
HECTOR PUBLIC LIBRARY,44.744704|-94.715322
HUTCHINSON PUBLIC LIBRARY,44.891211|-94.367917
LITCHFIELD PUBLIC LIBRARY,45.127674|-94.526543
WINSTED PUBLIC LIBRARY,44.964189|-94.048094
WILLMAR PUBLIC LIBRARY,45.119929|-95.049276
APPLETON PUBLIC LIBRARY,45.200009|-96.021493
ATWATER PUBLIC LIBRARY,45.137102|-94.782189
BENSON PUBLIC LIBRARY,45.315338|-95.599773
CANBY PUBLIC LIBRARY,44.707899|-96.275029
CLARA CITY LIBRARY,44.956498|-95.367512
DAWSON PUBLIC LIBRARY,44.929000|-96.055698
GRACEVILLE PUBLIC LIBRARY,45.567913|-96.436293
GRANITE FALLS PUBLIC LIBRARY,44.811290|-95.539069
GROVE CITY PUBLIC LIBRARY,45.148249|-94.689064
KERKHOVEN PUBLIC LIBRARY,45.191492|-95.315818
LAKE LILLIAN PUBLIC LIBRARY,44.944994|-94.879990
MADISON PUBLIC LIBRARY,45.012382|-96.193257
MAYNARD PUBLIC LIBRARY,44.906536|-95.469977
MILAN PUBLIC LIBRARY,45.110303|-95.911296
MONTEVIDEO PUBLIC LIBRARY,44.944314|-95.723853
NEW LONDON PUBLIC LIBRARY,45.301544|-94.942266
OLIVIA PUBLIC LIBRARY,44.773239|-94.990925
ORTONVILLE PUBLIC LIBRARY,45.301260|-96.441754
RAYMOND PUBLIC LIBRARY,45.016802|-95.239639
RENVILLE PUBLIC LIBRARY,44.787911|-95.211971
SPICER PUBLIC LIBRARY,45.236098|-94.940857
WINDOM PUBLIC LIBRARY,43.865522|-95.117795
ADRIAN BRANCH LIBRARY,43.634227|-95.933037
BALATON COMMUNITY LIBRARY,44.233624|-95.872168
EDGERTON PUBLIC LIBRARY,43.873502|-96.130255
FULDA MEMORIAL LIBRARY,43.871711|-95.600084
HERON LAKE PUBLIC LIBRARY,43.794174|-95.316954
IVANHOE PUBLIC LIBRARY,44.463372|-96.245926
JACKSON COUNTY CENTRAL LIBRARY,43.620221|-94.988715
LAKE BENTON PUBLIC LIBRARY,44.261029|-96.287699
LAKEFIELD PUBLIC LIBRARY,43.679506|-95.171937
LAMBERTON PUBLIC LIBRARY,44.231303|-95.264085
ROCK COUNTY COMMUNITY LIBRARY,43.654233|-96.211256
MOUNTAIN LAKE PUBLIC LIBRARY,43.940117|-94.929569
MEINDERS COMMUNITY LIBRARY,43.994369|-96.334363
SLAYTON PUBLIC LIBRARY,43.989422|-95.756195
TRACY PUBLIC LIBRARY,44.233139|-95.619488
TYLER PUBLIC LIBRARY,44.278826|-96.134534
WESTBROOK PUBLIC LIBRARY,44.041643|-95.436140
WORTHINGTON,43.621910|-95.595144
COTTONWOOD COMMUNITY LIBRARY,44.608899|-95.673543
MARSHALL,44.441131|-95.786025
MINNEOTA PUBLIC LIBRARY,44.560236|-95.988591
MORGAN PUBLIC LIBRARY,44.416373|-94.926672
REDWOOD FALLS PUBLIC LIBRARY,44.537679|-95.114532
WABASSO PUBLIC LIBRARY,44.402936|-95.255945
CANNON FALLS LIBRARY,44.507993|-92.904673
FARIBAULT: BUCKHAM MEMORIAL LIBRARY,44.290536|-93.268199
LAKE CITY PUBLIC LIBRARY,44.448056|-92.266300
LONSDALE PUBLIC LIBRARY,44.482255|-93.415302
NORTHFIELD CENTRAL,44.457443|-93.158714
OWATONNA PUBLIC LIBRARY,44.084882|-93.223395
RED WING PUBLIC LIBRARY,44.564814|-92.536136
SOUTHEASTERN LIBRARIES COOPERATING,44.043461|-92.500085
ROCHESTER - MAIN,44.021629|-92.461356
AUSTIN PUBLIC LIBRARY,43.670009|-92.971840
BLOOMING PRAIRIE PUBLIC LIBRARY,43.865386|-93.048892
BROWNSDALE PUBLIC LIBRARY,43.740779|-92.869452
CALEDONIA PUBLIC LIBRARY,43.634689|-91.495442
CHATFIELD PUBLIC LIBRARY,43.844803|-92.187864
DODGE CENTER PUBLIC LIBRARY,44.028191|-92.856376
GRAND MEADOW PUBLIC LIBRARY,43.705829|-92.572329
HARMONY PUBLIC LIBRARY,43.551332|-92.013733
HOKAH PUBLIC LIBRARY,43.759667|-91.345820
HOUSTON PUBLIC LIBRARY,43.763172|-91.567238
KASSON PUBLIC LIBRARY,44.029580|-92.749462
KENYON PUBLIC LIBRARY,44.271941|-92.984616
LA CRESCENT PUBLIC LIBRARY,43.829131|-91.304586
LANESBORO PUBLIC LIBRARY,43.718745|-91.976781
LE ROY PUBLIC LIBRARY,43.507394|-92.505926
MABEL PUBLIC LIBRARY,43.521490|-91.769677
PINE ISLAND: VAN HORN PUBLIC LIBRARY,44.200349|-92.647577
PLAINVIEW PUBLIC LIBRARY,44.165931|-92.170589
PRESTON PUBLIC LIBRARY,43.671263|-92.083452
RUSHFORD PUBLIC LIBRARY,43.810752|-91.753275
ST. CHARLES PUBLIC LIBRARY,43.967822|-92.065319
SPRING GROVE PUBLIC LIBRARY,43.560817|-91.638881
SPRING VALLEY PUBLIC LIBRARY,43.688799|-92.389182
STEWARTVILLE PUBLIC LIBRARY,43.854464|-92.487401
WABASHA PUBLIC LIBRARY,44.383216|-92.033565
WEST CONCORD PUBLIC LIBRARY,44.151729|-92.899275
WINONA PUBLIC LIBRARY,44.051156|-91.640370
ZUMBROTA PUBLIC LIBRARY,44.295406|-92.670523
ALBERT LEA PUBLIC LIBRARY,43.649841|-93.367077
ARLINGTON PUBLIC LIBRARY,44.607299|-94.080659
GAYLORD PUBLIC LIBRARY,44.553149|-94.221119
GIBBON PUBLIC LIBRARY,44.533174|-94.525300
WINTHROP PUBLIC LIBRARY,44.542167|-94.364264
BLUE EARTH COUNTY LIBRARY,44.167794|-94.002980
TRAVERSE DES SIOUX LIBRARY SYSTEM,44.167089|-93.971996
NORTH MANKATO TAYLOR LIBRARY,44.168822|-94.025586
BLUE EARTH COMMUNITY LIBRARY,43.637649|-94.102790
COMFREY AREA LIBRARY,44.109801|-94.907614
DARFUR BRANCH LIBRARY,44.049437|-94.837835
ELMORE PUBLIC LIBRARY,43.504837|-94.087954
ELYSIAN PUBLIC LIBRARY,44.198759|-93.673633
FAIRMONT (CENTRAL),43.653216|-94.460932
HANSKA PUBLIC LIBRARY,44.148881|-94.494173
HENDERSON PUBLIC LIBRARY,44.527886|-93.908229
JANESVILLE PUBLIC LIBRARY,44.117399|-93.707697
LAKE CRYSTAL PUBLIC LIBRARY,44.107771|-94.218684
LE CENTER PUBLIC LIBRARY,44.390829|-93.731729
LE SUEUR PUBLIC LIBRARY,44.459771|-93.915257
LEWISVILLE BRANCH LIBRARY,43.923667|-94.434623
MADELIA BRANCH LIBRARY,44.049859|-94.416958
MAPLETON PUBLIC LIBRARY,43.927399|-93.959991
MONTGOMERY PUBLIC LIBRARY,44.435521|-93.580975
NEW RICHLAND PUBLIC LIBRARY,43.893615|-93.493847
NEW ULM PUBLIC LIBRARY,44.313463|-94.461424
ST. JAMES-WATONWAN COUNTY LIBRARY,43.981325|-94.629256
ST. PETER PUBLIC LIBRARY,44.323894|-93.964889
SLEEPY EYE: DYCKMAN FREE LIBRARY,44.297191|-94.727185
SPRINGFIELD PUBLIC LIBRARY,44.240896|-94.974644
TRUMAN BRANCH LIBRARY,43.827681|-94.435596
WALDORF PUBLIC LIBRARY,43.935102|-93.697525
WASECA PUBLIC LIBRARY,44.080911|-93.507177
WATERVILLE PUBLIC LIBRARY,44.217701|-93.567635
WELLS PUBLIC LIBRARY,43.744069|-93.726279
WINNEBAGO:  MUIR LIBRARY,43.768197|-94.165672
BUTTERFIELD BRANCH LIBRARY,43.958655|-94.794743
SHERBURN BRANCH LIBRARY,43.652692|-94.727444
TRIMONT BRANCH LIBRARY,43.761941|-94.717959
WELCOME BRANCH LIBRARY,43.667139|-94.618222
BROWNS VALLEY PUBLIC LIBRARY,45.594250|-96.832500
HANCOCK COMMUNITY LIBRARY,45.498625|-95.794292
MORRIS PUBLIC LIBRARY,45.587741|-95.913227
WHEATON COMMUNITY LIBRARY,45.805261|-96.495588
DOUGLAS COUNTY LIBRARY,45.884524|-95.379305
GLENWOOD PUBLIC LIBRARY,45.649261|-95.388212
ELBOW LAKE: THORSON MEM LIBRARY,45.990851|-95.976599
FERGUS FALLS PUBLIC LIBRARY,46.278979|-96.072272
NEW YORK MILLS PUBLIC LIBRARY,46.518960|-95.375664
PELICAN RAPIDS PUBLIC LIBRARY: A MULTICULTURAL LEARNING CENTER,46.569412|-96.084820
PERHAM AREA PUBLIC LIBRARY,46.594799|-95.570369
ELBOW LAKE: THORSON MEMORIAL LIBRARY,45.990851|-95.976599
